postal_code	prefectural_code
^〒0[4-9]	01
^〒00	01
^〒03	02
^〒02	03
^〒98	04
^〒01	05
^〒99	06
^〒96	07
^〒3[0-1]	08
^〒32	09
^〒37	10
^〒3[3-6]	11
^〒2[6-9]	12
^〒1	13
^〒2[1-5]	14
^〒9[4-5]	15
^〒93	16
^〒92	17
^〒91	18
^〒40	19
^〒3[8-9]	20
^〒50	21
^〒4[1-3]	22
^〒4[4-9]	23
^〒51	24
^〒52	25
^〒6[0-2]	26
^〒5[3-9]	27
^〒6[5-7]	28
^〒63	29
^〒64	30
^〒68	31
^〒69	32
^〒7[0-1]	33
^〒7[2-3]	34
^〒7[4-5]	35
^〒77	36
^〒76	37
^〒79	38
^〒78	39
^〒8[0-3]	40
^〒84	41
^〒85	42
^〒86	43
^〒87	44
^〒88	45
^〒89	46
^〒90	47
